Date,Close,Momentum,Signal,Position,Daily_Return,Portfolio_Value
2001-03-05,1271.45,-130.75,0.0,0.0,-0.0,1605922.214690794
2001-03-07,1290.5,-100.70000000000005,0.0,0.0,0.0,1605922.214690794
2001-03-08,1292.85,-100.5,0.0,0.0,0.0,1605922.214690794
2001-03-09,1254.75,-161.95000000000005,0.0,0.0,-0.0,1605922.214690794
2001-03-12,1197.95,-183.39999999999986,0.0,0.0,-0.0,1605922.214690794
2001-03-13,1124.7,-260.0999999999999,0.0,0.0,-0.0,1605922.214690794
2001-03-14,1194.2,-189.64999999999986,0.0,0.0,0.0,1605922.214690794
2001-03-15,1217.15,-152.94999999999982,0.0,0.0,0.0,1605922.214690794
2001-03-16,1193.55,-161.54999999999995,0.0,0.0,-0.0,1605922.214690794
2001-03-19,1186.7,-133.75,0.0,0.0,-0.0,1605922.214690794
2001-03-20,1170.95,-141.45000000000005,0.0,0.0,-0.0,1605922.214690794
2001-03-21,1207.1,-88.45000000000005,0.0,0.0,0.0,1605922.214690794
2001-03-22,1187.55,-163.85000000000014,0.0,0.0,-0.0,1605922.214690794
2001-03-23,1161.3,-196.75,0.0,0.0,-0.0,1605922.214690794
2001-03-26,1161.5,-144.8499999999999,0.0,0.0,0.0,1605922.214690794
2001-03-27,1177.75,-93.70000000000005,0.0,0.0,0.0,1605922.214690794
2001-03-28,1206.2,-84.29999999999995,0.0,0.0,0.0,1605922.214690794
2001-03-29,1195.1,-97.75,0.0,0.0,-0.0,1605922.214690794
2001-03-30,1148.2,-106.54999999999995,0.0,0.0,-0.0,1605922.214690794
2001-04-02,1138.1,-59.850000000000136,0.0,0.0,-0.0,1605922.214690794
2001-04-03,1149.25,24.549999999999955,1.0,1.0,0.009797030137949303,1621655.4830273222
2001-04-04,1136.65,-57.549999999999955,-1.0,0.0,-0.0,1621655.4830273222
2001-04-06,1139.6,-77.55000000000018,0.0,0.0,0.0,1621655.4830273222
2001-04-09,1128.35,-65.20000000000005,0.0,0.0,-0.0,1621655.4830273222
2001-04-10,1103.05,-83.65000000000009,0.0,0.0,-0.0,1621655.4830273222
2001-04-11,1066.8,-104.15000000000009,0.0,0.0,-0.0,1621655.4830273222
